question,answer
什么是Python？,Python 是一种解释型、面向对象的高级编程语言，由 Guido van Rossum 于 1991 年发布，以简洁易读的语法著称，广泛应用于 Web 开发、数据分析、人工智能等领域。
什么是机器学习？,机器学习是人工智能的一个分支，通过算法让计算机从数据中自动学习模式和规律，而无需显式编程。主要分为监督学习、无监督学习和强化学习三大类。
什么是深度学习？,深度学习是机器学习的一个子集，使用多层神经网络（深度神经网络）来自动提取数据的高层特征，在图像识别、自然语言处理等领域取得了突破性进展。
什么是自然语言处理？,自然语言处理（NLP）是人工智能和语言学的交叉领域，旨在让计算机理解、解释和生成人类语言，应用包括机器翻译、情感分析、聊天机器人等。
什么是神经网络？,神经网络是受生物神经系统启发的计算模型，由大量相互连接的节点（神经元）组成，通过调整连接权重来学习输入到输出的映射关系。
什么是监督学习？,监督学习是机器学习的一种方法，使用带标签的训练数据来学习输入到输出的映射函数，常见算法包括线性回归、决策树、支持向量机（SVM）等。
什么是无监督学习？,无监督学习是机器学习的一种方法，使用无标签的数据来发现数据中隐藏的结构和模式，常见算法包括 K-Means 聚类、主成分分析（PCA）等。
什么是强化学习？,强化学习是机器学习的一种范式，智能体通过与环境交互获得奖励或惩罚信号来学习最优策略，在游戏 AI、机器人控制等领域有广泛应用。
什么是大语言模型？,大语言模型（LLM）是基于 Transformer 架构的超大规模神经网络，在海量文本数据上训练，能够理解和生成自然语言，如 GPT、DeepSeek 等。
什么是 Transformer？,Transformer 是 2017 年由 Google 提出的神经网络架构，基于自注意力机制（Self-Attention），抛弃了传统的循环结构，是现代大语言模型的核心基础。
什么是 RAG？,RAG（检索增强生成）是一种结合信息检索与文本生成的技术架构，先从知识库检索相关文档，再由大模型基于检索结果生成回答，有效减少幻觉问题。
什么是向量数据库？,向量数据库是专门存储和检索向量嵌入（Embedding）的数据库系统，支持高效的相似性搜索，常用于 RAG、推荐系统等场景，代表产品有 Milvus、Pinecone。
什么是 Docker？,Docker 是一个开源的容器化平台，允许开发者将应用程序及其依赖打包到轻量级的容器中，确保在不同环境中一致运行。
什么是 Git？,Git 是一个分布式版本控制系统，用于跟踪代码变更、协作开发和版本管理，由 Linus Torvalds 于 2005 年创建，是当前最流行的版本控制工具。
什么是 API？,API（应用程序编程接口）是一组定义好的规则和协议，允许不同软件系统之间进行通信和数据交换，常见的 Web API 使用 RESTful 风格。
什么是 RESTful API？,RESTful API 是一种遵循 REST（表述性状态转移）架构风格的 Web API 设计规范，使用 HTTP 方法（GET/POST/PUT/DELETE）操作资源，以 JSON 为主要数据格式。
什么是 SQL？,SQL（结构化查询语言）是用于管理和操作关系型数据库的标准语言，支持数据查询（SELECT）、插入（INSERT）、更新（UPDATE）、删除（DELETE）等操作。
什么是 NoSQL？,NoSQL 是非关系型数据库的统称，不采用传统的表结构，适用于大规模数据和高并发场景，常见类型包括键值存储（Redis）、文档型（MongoDB）、列族型等。
什么是微服务架构？,微服务架构是一种软件设计风格，将应用拆分为多个独立的小型服务，每个服务围绕特定业务功能构建，可独立开发、部署和扩展。
什么是 CI/CD？,CI/CD（持续集成/持续交付）是一种软件开发实践，通过自动化构建、测试和部署流程，使团队能够频繁且可靠地交付软件更新。
什么是 Redis？,Redis 是一个开源的高性能键值数据库，数据存储在内存中，支持多种数据结构（字符串、哈希、列表、集合等），常用于缓存、消息队列和实时数据分析。
什么是 JWT？,JWT（JSON Web Token）是一种紧凑的、URL 安全的令牌格式，用于在网络应用之间安全地传输声明信息，广泛应用于身份认证和授权。
什么是 HTTPS？,HTTPS 是 HTTP 的安全版本，通过 TLS/SSL 协议对通信进行加密，确保数据在客户端和服务器之间传输的机密性和完整性。
什么是正则表达式？,正则表达式是一种用于匹配和操作文本字符串的模式描述语言，使用特定的语法规则来定义搜索模式，广泛应用于数据验证和文本处理。
什么是负载均衡？,负载均衡是一种将网络流量或计算任务分配到多个服务器的技术，用于提高系统的可用性、响应速度和容错能力。
什么是 JSON？,JSON（JavaScript Object Notation）是一种轻量级的数据交换格式，采用键值对的方式组织数据，易于人阅读和机器解析，是 Web API 的主流数据格式。
什么是 Markdown？,Markdown 是一种轻量级的标记语言，使用简单的符号标记文本格式，可以转换为 HTML，广泛用于技术文档、README 文件和博客写作。
什么是 WebSocket？,WebSocket 是一种在单个 TCP 连接上实现全双工通信的协议，允许服务器主动向客户端推送数据，适用于实时聊天、在线游戏等场景。
什么是 TCP/IP？,TCP/IP 是互联网使用的核心协议族，TCP 负责可靠的数据传输，IP 负责数据包的路由和寻址，共同构成了互联网的基础。
什么是 DNS？,DNS（域名系统）是互联网的"电话簿"，将人类可读的域名（如 www.example.com）转换为计算机使用的 IP 地址。
什么是 CDN？,CDN（内容分发网络）是分布在全球各地的服务器网络，通过就近向用户提供内容来加速网站访问、降低延迟。
什么是云计算？,云计算是通过互联网提供按需计算资源的服务模式，包括服务器、存储、数据库、网络、软件等，用户只需为使用的资源付费。
什么是边缘计算？,边缘计算是一种分布式计算架构，将数据处理从中心数据中心移至靠近数据源的网络边缘，减少延迟和带宽消耗。
什么是区块链？,区块链是一种去中心化的分布式账本技术，数据以区块形式按时间顺序链接，具有不可篡改、透明可追溯的特性。
什么是 Web3？,Web3 是基于区块链技术的新一代互联网愿景，强调去中心化、用户数据自主权和代币经济，与 Web2.0 的中心化平台模式形成对比。
什么是 AIGC？,AIGC（AI 生成内容）是指利用人工智能技术自动生成文本、图像、音频、视频等内容，代表应用包括 ChatGPT、Midjourney 等。
什么是 Prompt？,Prompt 是用户向 AI 模型输入的指令或问题文本，通过精心设计的 Prompt（提示工程）可以引导模型生成更准确、更有用的输出。
什么是 Token？,Token 是 LLM 处理文本的基本单位，可以是单词、子词或字符。模型的上下文窗口大小和计费通常以 Token 数量来衡量。
什么是 Fine-tuning？,Fine-tuning（微调）是在预训练大模型的基础上，使用特定领域的数据进行额外训练，使模型更好地适应特定任务，降低使用成本。
什么是 Embedding？,Embedding（嵌入）是将文本、图像等非结构化数据转换为固定长度的稠密向量的技术，语义相近的内容在向量空间中距离更近。
什么是过拟合？,过拟合是指机器学习模型在训练数据上表现很好，但在新数据上性能下降，通常因模型过于复杂或训练数据不足导致。
什么是欠拟合？,欠拟合是指机器学习模型在训练数据和新数据上都表现不佳，通常因模型过于简单或训练不充分导致。
什么是交叉验证？,交叉验证是一种模型评估方法，将数据分成多个子集，轮流使用不同子集作为验证集，以减少单次划分带来的偶然性。
什么是梯度下降？,梯度下降是一种迭代优化算法，通过沿损失函数梯度的负方向更新参数，逐步寻找使损失最小化的最优参数值。
什么是反向传播？,反向传播是训练神经网络的核心算法，通过链式法则计算损失函数对每个参数的梯度，并从输出层向输入层逐层传递误差。
什么是激活函数？,激活函数是神经网络中的非线性变换函数，决定神经元是否被激活，常见的包括 ReLU、Sigmoid、Tanh 等，ReLU 是目前使用最广泛的。
什么是损失函数？,损失函数用于衡量模型预测值与真实值之间的差异，训练的目标是最小化损失函数值，常见的包括均方误差（MSE）、交叉熵损失等。
什么是卷积神经网络？,卷积神经网络（CNN）是一种专门处理网格结构数据（如图像）的深度学习架构，通过卷积层提取局部特征，在计算机视觉领域表现卓越。
什么是循环神经网络？,循环神经网络（RNN）是一种处理序列数据的神经网络，通过隐藏状态的循环连接捕捉时间依赖关系，适用于文本、语音等序列任务。
什么是生成对抗网络？,生成对抗网络（GAN）由生成器和判别器两个网络组成，通过对抗训练生成逼真的数据样本，广泛应用于图像生成、风格迁移等领域。
什么是注意力机制？,注意力机制是让模型在处理输入时能够聚焦于重要部分的技术，核心思想是为不同位置的输入分配不同的权重，是 Transformer 的基础。
什么是知识图谱？,知识图谱是一种结构化的语义知识库，以图的形式描述实体及其之间的关系，用于语义搜索、智能问答和推荐系统等。
什么是强化学习中的 Q-Learning？,Q-Learning 是一种无模型的强化学习算法，通过学习状态-动作值函数 Q(s，a) 来找到最优策略，不需要知道环境模型。
什么是迁移学习？,迁移学习是将在一个任务上训练好的模型知识迁移到另一个相关任务的技术，可以大幅减少目标任务的训练数据需求和时间。
什么是模型蒸馏？,模型蒸馏是一种模型压缩技术，通过让小型模型（学生）学习大型模型（教师）的输出分布，在保持性能的同时减小模型体积。
什么是数据增强？,数据增强是通过对原始训练数据进行变换（如旋转、翻转、加噪）来生成更多训练样本的技术，可有效缓解过拟合。
什么是超参数？,超参数是在模型训练之前设置的参数，如学习率、批次大小、网络层数等，不同于模型参数（权重和偏置）是在训练中学习的。
什么是学习率？,学习率是控制模型参数更新步长的超参数，学习率过大会导致不稳定，过小会导致收敛过慢，通常需要精心调整。
什么是混淆矩阵？,混淆矩阵是评估分类模型性能的表格工具，展示真阳性（TP）、假阳性（FP）、真阴性（TN）、假阴性（FN）四种预测结果的数量。
什么是精确率和召回率？,精确率（Precision）衡量预测为正的样本中有多少是真正的正样本，召回率（Recall）衡量所有真正的正样本中有多少被正确预测出来。
什么是 F1 分数？,F1 分数是精确率和召回率的调和平均值，取值 0~1，越接近 1 表示模型性能越好，常用于不平衡数据集的模型评估。
什么是 AUC-ROC？,AUC-ROC 是评估二分类模型性能的指标，ROC 曲线绘制真阳性率与假阳性率的关系，AUC（曲线下面积）越大表示模型区分能力越强。
什么是偏差-方差权衡？,偏差-方差权衡是机器学习中的核心概念：高偏差导致欠拟合，高方差导致过拟合，需要在两者间找到平衡以最小化总误差。
什么是 Python 装饰器？,装饰器是 Python 的一种高级语法，允许在不修改原函数代码的情况下为其添加额外功能，本质是一个接受函数作为参数并返回新函数的可调用对象。
什么是 Python 生成器？,生成器是 Python 中使用 yield 关键字的特殊函数，可以逐个产生值而不是一次性返回所有结果，内存友好的方式处理大数据集。
什么是 MySQL 索引？,索引是数据库中用于加速数据查询的数据结构（通常是 B+ 树），类似于书的目录，能显著提升查询性能但会降低写入速度。
什么是 Redis 的持久化？,Redis 支持 RDB（快照）和 AOF（追加日志）两种持久化方式，确保数据在重启后不会丢失，可根据场景选择或组合使用。
什么是消息队列？,消息队列是一种异步通信机制，用于在分布式系统中解耦生产者和消费者，提供削峰填谷和可靠消息传递，常见的如 RabbitMQ、Kafka。
什么是分布式系统？,分布式系统是运行在多台计算机上的系统，通过网络协调完成任务，目标是提高可扩展性、可用性和容错能力。
什么是 CAP 定理？,CAP 定理指出分布式系统无法同时满足一致性（Consistency）、可用性（Availability）和分区容错性（Partition Tolerance），只能三者择其二。
什么是设计模式？,设计模式是软件开发中反复出现的通用解决方案，代表了最佳实践，常见的 23 种包括单例模式、工厂模式、观察者模式等。
什么是 MVC 模式？,MVC（模型-视图-控制器）是一种软件架构模式，将应用分为数据模型、用户界面和业务逻辑三层，实现关注点分离，常见于 Web 框架。
什么是 ORM？,ORM（对象关系映射）是将数据库表映射为编程语言中对象的技术，允许开发者用面向对象的方式操作数据库，如 Python 的 SQLAlchemy。
什么是虚拟环境？,虚拟环境是 Python 中用于隔离项目依赖的机制，每个项目可以拥有独立的包版本，避免不同项目之间的依赖冲突。
什么是 Docker Compose？,Docker Compose 是 Docker 的编排工具，通过 YAML 文件定义多容器应用的服务、网络和卷，一键启动整个应用栈。
什么是 Kubernetes？,Kubernetes（K8s）是一个开源的容器编排平台，自动化容器的部署、扩展和管理，是云原生应用的事实标准。
什么是持续部署？,持续部署是 CI/CD 的最后阶段，代码通过自动化测试后自动部署到生产环境，完全消除人工干预，实现快速且可靠的软件交付。
什么是 OAuth 2.0？,OAuth 2.0 是一种授权框架，允许第三方应用在用户授权下访问其资源，而无需暴露用户的凭据（如密码），广泛用于社交登录。
什么是 CORS？,CORS（跨域资源共享）是一种浏览器安全机制，允许 Web 页面从不同于当前页面的域请求资源，需要通过 HTTP 头来配置。
什么是 XSS 攻击？,XSS（跨站脚本攻击）是一种 Web 安全漏洞，攻击者向页面注入恶意脚本，当其他用户访问时脚本被执行，可窃取用户信息。
什么是 CSRF 攻击？,CSRF（跨站请求伪造）是一种攻击方式，诱导用户在已登录的 Web 应用上执行非预期的操作，防御措施包括使用 CSRF Token。
什么是 SQL 注入？,SQL 注入是一种代码注入攻击，攻击者通过在输入中插入恶意的 SQL 语句来操纵数据库，防御方法包括参数化查询和输入验证。
什么是 Linux 常用命令？,Linux 常用命令包括：ls（列出文件）、cd（切换目录）、grep（文本搜索）、find（查找文件）、chmod（修改权限）、ps（查看进程）等。
什么是 HTTP 状态码？,HTTP 状态码是服务器对请求的响应标识，2xx 表示成功（200 OK），3xx 表示重定向，4xx 表示客户端错误（404 Not Found），5xx 表示服务器错误。
什么是 Web 服务器？,Web 服务器是接收 HTTP 请求并返回响应（如 HTML 页面）的软件，常见的包括 Nginx、Apache、IIS 等。
什么是 Nginx？,Nginx 是一个高性能的 HTTP 服务器和反向代理服务器，以事件驱动架构著称，广泛用于静态资源服务、负载均衡和反向代理。
什么是 JavaScript？,JavaScript 是一种动态类型的脚本语言，主要用于 Web 前端开发，也可通过 Node.js 在服务器端运行，是构建现代 Web 应用的核心语言。
什么是 TypeScript？,TypeScript 是 JavaScript 的超集，添加了静态类型检查和其他高级特性，编译为纯 JavaScript 运行，提升了大型项目的可维护性。
什么是 React？,React 是由 Meta（Facebook）开发的前端 JavaScript 库，采用组件化和虚拟 DOM 的方式构建用户界面，是目前最流行的前端框架之一。
什么是 Vue.js？,Vue.js 是一个渐进式的 JavaScript 前端框架，以易学易用和灵活著称，支持从简单的页面增强到复杂的单页应用开发。
什么是 Node.js？,Node.js 是一个基于 Chrome V8 引擎的 JavaScript 运行时环境，让 JavaScript 可以在服务器端运行，以事件驱动和非阻塞 I/O 为特点。
什么是敏捷开发？,敏捷开发是一种迭代式的软件开发方法论，强调快速交付、响应变化、团队协作和持续改进，Scrum 和 Kanban 是常见的敏捷框架。
什么是 Scrum？,Scrum 是一种敏捷开发框架，通过固定周期的 Sprint 迭代交付产品增量，角色包括产品负责人、Scrum Master 和开发团队。
什么是 TDD？,TDD（测试驱动开发）是一种编程实践，先编写测试用例再编写功能代码，遵循"红-绿-重构"循环，确保代码的正确性和可维护性。
什么是 DevOps？,DevOps 是开发和运维的协作文化和实践，通过自动化工具链将软件开发和 IT 运维整合，加速交付周期，提高系统可靠性。
什么是云原生？,云原生是一种构建和运行应用程序的方法论，充分利用云计算的优势，核心技术包括容器化、微服务、服务网格和声明式 API。
什么是服务网格？,服务网格是微服务架构中的基础设施层，负责处理服务之间的通信、负载均衡、故障恢复和可观测性，常见的如 Istio。
什么是 GraphQL？,GraphQL 是 Facebook 开发的一种 API 查询语言，允许客户端精确指定需要的数据字段，避免 REST API 中过度获取或获取不足的问题。
什么是 gRPC？,gRPC 是 Google 开发的高性能 RPC 框架，使用 Protocol Buffers 作为接口定义语言和数据序列化格式，支持双向流通信。
什么是 MQTT？,MQTT 是一种轻量级的发布-订阅消息传输协议，专为低带宽、不稳定的网络环境设计，广泛应用于物联网（IoT）设备通信。
什么是物联网？,物联网（IoT）是将物理设备连接到互联网的网络，这些设备通过传感器和执行器收集数据并执行操作，实现智能化的监控和控制。
什么是数字孪生？,数字孪生是物理实体在数字空间中的虚拟映射，通过实时数据同步来模拟、分析和优化物理对象的行为和性能。
什么是深度学习中的 Dropout？,Dropout 是一种正则化技术，在训练期间随机丢弃一部分神经元，防止网络对特定神经元过度依赖，有效缓解过拟合。
什么是 Batch Normalization？,Batch Normalization 是一种加速深度网络训练的技术，对每一层的输入进行归一化处理，使数据分布保持稳定，允许使用更高的学习率。
